时间,区域,数量
2015/4/1 0:00,A,30587
2015/4/1 3:00,A,49017
2015/4/1 6:00,A,53942
2015/4/1 9:00,A,55878
2015/4/1 12:00,A,43004
2015/4/1 15:00,A,43651
2015/4/1 18:00,A,45308
2015/4/1 21:00,A,58081
2015/4/2 0:00,A,28207
2015/4/2 0:00,A,28910
2015/4/2 3:00,A,51852
2015/4/2 6:00,A,56917
2015/4/2 9:00,A,56767
2015/4/2 12:00,A,45786
2015/4/2 15:00,A,48851
2015/4/2 18:00,A,51070
2015/4/2 21:00,A,62741
2015/4/3 0:00,A,28527
2015/4/3 0:00,A,26177
2015/4/3 3:00,A,45090
2015/4/3 6:00,A,52631
2015/4/3 9:00,A,56893
2015/4/3 12:00,A,45880
2015/4/3 15:00,A,45135
2015/4/3 18:00,A,48636
2015/4/3 21:00,A,57813
2015/4/4 0:00,A,31205
2015/4/4 0:00,A,32747
2015/4/4 3:00,A,54272
2015/4/4 6:00,A,52921
2015/4/4 9:00,A,53834
2015/4/4 12:00,A,52006
2015/4/4 15:00,A,51933
2015/4/4 18:00,A,52805
2015/4/4 21:00,A,57041
2015/4/5 0:00,A,28589
2015/4/5 0:00,A,31446
2015/4/5 3:00,A,51680
2015/4/5 6:00,A,54601
2015/4/5 9:00,A,55870
2015/4/5 12:00,A,54609
2015/4/5 15:00,A,51752
2015/4/5 18:00,A,51579
2015/4/5 21:00,A,55285
2015/4/6 0:00,A,26564
2015/4/6 0:00,A,27225
2015/4/6 3:00,A,46577
2015/4/6 6:00,A,47454
2015/4/6 9:00,A,64790
2015/4/6 12:00,A,57763
2015/4/6 15:00,A,52429
2015/4/6 18:00,A,52961
2015/4/6 21:00,A,54531
2015/4/7 0:00,A,25392
2015/4/7 0:00,A,27138
2015/4/7 3:00,A,45339
2015/4/7 6:00,A,50708
2015/4/7 9:00,A,57065
2015/4/7 12:00,A,46611
2015/4/7 15:00,A,48140
2015/4/7 18:00,A,49348
2015/4/7 21:00,A,59345
2015/4/8 0:00,A,30143
2015/4/8 0:00,A,31027
2015/4/8 3:00,A,48697
2015/4/8 6:00,A,53845
2015/4/8 9:00,A,52704
2015/4/8 12:00,A,45319
2015/4/8 15:00,A,46824
2015/4/8 18:00,A,50494
2015/4/8 21:00,A,57485
2015/4/9 0:00,A,29881
2015/4/9 0:00,A,29997
2015/4/9 3:00,A,47118
2015/4/9 6:00,A,52311
2015/4/9 9:00,A,55147
2015/4/9 12:00,A,43417
2015/4/9 15:00,A,48737
2015/4/9 18:00,A,46392
2015/4/9 21:00,A,49147
2015/4/10 0:00,A,28260
2015/4/10 0:00,A,25203
2015/4/10 3:00,A,49614
2015/4/10 6:00,A,55679
2015/4/10 9:00,A,50731
2015/4/10 12:00,A,47124
2015/4/10 15:00,A,52245
2015/4/10 18:00,A,50814
2015/4/10 21:00,A,57866
2015/4/11 0:00,A,28512
2015/4/11 0:00,A,31928
2015/4/11 3:00,A,53995
2015/4/11 6:00,A,48953
2015/4/11 9:00,A,60554
2015/4/11 12:00,A,58906
2015/4/11 15:00,A,58641
2015/4/11 18:00,A,47336
2015/4/11 21:00,A,53261
2015/4/12 0:00,A,26344
2015/4/12 0:00,A,29872
2015/4/12 3:00,A,52947
2015/4/12 6:00,A,52384
2015/4/12 9:00,A,61350
2015/4/12 12:00,A,55093
2015/4/12 15:00,A,54361
2015/4/12 18:00,A,53400
2015/4/12 21:00,A,60460
2015/4/13 0:00,A,29858
